"Collection Name","Title#1","Creator#1","CreatorLink#1","Creator#2","Date#1","Format#1","FormatLink#1","Format#2","FormatLink#2","Format#3","FormatLink#3","Description#1","Subject#1","SubjectLink#1","Subject#2","SubjectLink#2","Publisher#1","PublisherLink#1","Publisher#2","Contributor#1","ContributorLink#1","Type#1","Identifier#1","Identifier ARK#1","Source#1","SourceLink#1","Language#1","LanguageLink#1","Language#2","LanguageLink#2","RelationLink#1","Coverage#1","CoverageLink#1","Coverage#2","CoverageLink#2","Rights#1","RightsLink#1","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"James F. Willard Collection","Man in a car, houses and the Flatirons summits visible in background","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_001_m.jpg","https://ark.colorado.edu/ark:/47540/2f131c99w93k","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","Boulder (Colo.)","http://id.loc.gov/authorities/names/n79091289","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","1","4882","narv_willardJF_01_01_001_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~1~156402"
"James F. Willard Collection","Street in Boulder, Colorado","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_002_m.jpg","https://ark.colorado.edu/ark:/47540/588j2z73z0kg","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","Boulder (Colo.)","http://id.loc.gov/authorities/names/n79091289","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","2","4882","narv_willardJF_01_01_002_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~2~156401"
"James F. Willard Collection","Man standing by horse or mule hitched to small cart","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_003_m.jpg","https://ark.colorado.edu/ark:/47540/941f1475d28b","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","","","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","3","4882","narv_willardJF_01_01_003_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~3~156400"
"James F. Willard Collection","Two men standing on manicured yard with foothills visible in background","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_004_m.jpg","https://ark.colorado.edu/ark:/47540/664m4b41t65t","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","","","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","4","4882","narv_willardJF_01_01_004_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~4~156399"
"James F. Willard Collection","Steam locomotive #3510","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_005_m.jpg","https://ark.colorado.edu/ark:/47540/43982426z9bj","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","","","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","5","4882","narv_willardJF_01_01_005_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~5~156398"
"James F. Willard Collection","Macky Auditorium","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_006_m.jpg","https://ark.colorado.edu/ark:/47540/3n9k3d6088v9","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","Boulder (Colo.)","http://id.loc.gov/authorities/names/n79091289","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","6","4882","narv_willardJF_01_01_006_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~6~156397"
"James F. Willard Collection","Woman standing in front of trees with rock-mounted plaque","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_007_m.jpg","https://ark.colorado.edu/ark:/47540/cw4k5410r365","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","","","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","7","4882","narv_willardJF_01_01_007_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~7~156396"
"James F. Willard Collection","Two men standing in front of the foothills near Boulder, Colorado","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_008_m.jpg","https://ark.colorado.edu/ark:/47540/cz9m4b0852sr","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","Boulder (Colo.)","http://id.loc.gov/authorities/names/n79091289","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","8","4882","narv_willardJF_01_01_008_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~8~156395"
"James F. Willard Collection","Man and woman standing on a porch","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_009_m.jpg","https://ark.colorado.edu/ark:/47540/2r2z1921h8vt","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","","","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","9","4882","narv_willardJF_01_01_009_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~9~156394"
"James F. Willard Collection","Four women on a porch","Unidentified photographer","","","","photographs","http://vocab.getty.edu/aat/300046300","black-and-white prints (photographs)","http://vocab.getty.edu/aat/300128349","","","","","","","","","","","","","image/jpeg","narv_willardJF_01_01_010_m.jpg","https://ark.colorado.edu/ark:/47540/4r7n1q3515rf","Boulder Area, COU:1730:04","","","","","","Catalog record for item series: https://archives.colorado.edu/repositories/2/archival_objects/100819","","","","","This Item is protected by copyright and/or related rights. However, for this Item, either (a) no rights-holder(s) have been identified or (b) one or more rights-holder(s) have been identified but none have been located. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use.https://rightsstatements.org/page/InC-RUU/1.0/?language=en","","10","4882","narv_willardJF_01_01_010_m.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~14~14~10~156393"
